"dataset_key","dataset_title","dataset_doi","publishing_organization_key"
"26d72d3b-4544-4645-aa56-27aa8a669c6f","A Distribution and Taxonomic Reference Dataset of Geranium (Geraniaceae) in the New World","10.15470/ibqzdo","0363cbd4-f666-455e-8e86-0bbddcf51950"
"640142cc-ff7e-49f3-902a-a0fd5a7a3560","A checklist to the wasps of Peru (Hymenoptera, Aculeata)","10.15468/9fuxrf","bb922300-7ddb-11de-a300-90ac77aa923f"
"07044577-bd82-4089-9f3a-f4a9d2170b2e","A global database for the distributions of crop wild relatives","10.15468/jyrthk","fee3882f-5360-4f01-a1ca-767c48fa629c"
"96c93a1e-f762-11e1-a439-00145eb45e9a","AMNH Bird Collection","10.15468/xvzdcm","ccd1ddc0-6c21-11de-8224-b8a03c50a862"
"96ca66b4-f762-11e1-a439-00145eb45e9a","AMNH Mammal Collections","10.15468/wu3poe","ccd1ddc0-6c21-11de-8224-b8a03c50a862"
"13b70480-bd69-11dd-b15f-b8a03c50a862","AntWeb","10.15468/wqmjjt","66522820-055c-11d8-b84e-b8a03c50a862"
"e05fd4c2-4d77-4c50-880e-1b22096af300","Arizona State University Vascular Plant Herbarium","10.15468/a2o8vy","814cdfb5-d4f8-4453-815f-ea5df98e76bf"
"33795d9d-3f94-4b0e-a2f6-d3a03cfce7aa","Bioversity Collecting Mission Database","10.15468/ulk1iz","a3c228d0-3110-11db-abb8-b8a03c50a862"
"defb9a47-c1a7-4fb2-9a0b-2da7c5260cad","Botanical Research Institute of Texas, Philecology Herbarium","10.15468/7nd66f","c4cbb860-e9c7-11da-8113-b8a03c50a862"
"f934f8e2-32ca-46a7-b2f8-b032a4740454","CAS Botany (BOT)","10.15468/7gudyo","66522820-055c-11d8-b84e-b8a03c50a862"
"14f3151a-e95d-493c-a40d-d9938ef62954","CAS Entomology (ENT)","10.15468/3ibpmo","66522820-055c-11d8-b84e-b8a03c50a862"
"6ec3c7f5-6233-48f6-b36a-06b867edbadd","CAS Entomology Type (TYPE)","10.15468/gak5hc","66522820-055c-11d8-b84e-b8a03c50a862"
"5d6c10bd-ea31-4363-8b79-58c96d859f5b","CAS Ichthyology (ICH)","10.15468/efh2ib","66522820-055c-11d8-b84e-b8a03c50a862"
"8346c3a8-f762-11e1-a439-00145eb45e9a","CSIC-Real Jard<U+00ED>n Bot<U+00E1>nico-Colecci<U+00F3>n de Musgos (MA-Musci)","10.15468/aj41tg","0363cbd4-f666-455e-8e86-0bbddcf51950"
"834c9918-f762-11e1-a439-00145eb45e9a","CSIC-Real Jard<U+00ED>n Bot<U+00E1>nico-Colecci<U+00F3>n de Plantas Vasculares (MA)","10.15468/mug7kr","0363cbd4-f666-455e-8e86-0bbddcf51950"
"dba33190-d892-4d2f-8508-36f0fc72dc94","Colecci<U+00F3>n de  Bruniales, Buxales, Canellales y Caryophyllales del Museo Bot<U+00E1>nico CORD - IMBIV","10.15468/xr6lls","7a6bdf66-ef5c-4a81-b731-2e328f4881eb"
"30cb7f3d-58d3-4c21-b2c8-f9d627054db0","Colecci<U+00F3>n de Boraginales y Brassicaless del Museo Bot<U+00E1>nico CORD - IMBIV","10.15468/hfwh6f","7a6bdf66-ef5c-4a81-b731-2e328f4881eb"
"96678e90-f762-11e1-a439-00145eb45e9a","Collection Aves (bird skins) SMF","10.15468/qn6jaa","c76cf030-2a95-11da-9cc1-b8a03c50a862"
"2e69f69c-703f-11e2-ad8f-00145eb45e9a","Culture Collection of Cryophilic Algae","10.15468/hnlxs3","c809a470-090e-498b-abc9-cfd65e90b698"
"c267909d-184f-4138-9e67-a074d478d52b","DAV - University of California, Davis Center for Plant Diversity - Vascular Plants","10.15468/on4axg","f0b6a090-a4c6-11d8-9534-b8a03c50a862"
"3ee66eb3-4786-4bda-b7f1-c145b1a57a6b","Delaware Museum of Nature and Science <U+2013> Mollusks","10.15468/lfwzak","a42867f0-813a-11dc-82e0-b8a03c50a862"
"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","EOD <U+2013> eBird Observation Dataset","10.15468/aomfnb","e2e717bf-551a-4917-bdc9-4fa0f342c530"
"865df020-f762-11e1-a439-00145eb45e9a","EURISCO, The European Genetic Resources Search Catalogue","10.15468/a3lnmd","a3c228d0-3110-11db-abb8-b8a03c50a862"
"8bd8c361-c96b-40c9-91a0-eb3c0e7e0135","Eastern Illinois University, Stover-Ebinger Herbarium","10.15468/tf54rf","b4f35cba-20d6-4266-90b5-8e7f0ac91325"
"bf2a4bf0-5f31-11de-b67e-b8a03c50a862","Edinburgh (E) Herbarium Specimens","10.15468/ypoair","98e934b0-5f31-11de-b67e-b8a03c50a862"
"fb9863f4-68cf-4e90-bc4d-2b15bdebf889","Entomologische Sammlung (ETHZ-ENT) of Eidgen<U+00F6>ssische Technische Hochschule Z<U+00FC>rich","10.15468/9jutqw","9661d20d-86b6-4485-8948-f3c86b022fa7"
"96404cc2-f762-11e1-a439-00145eb45e9a","Entomology Division, Yale Peabody Museum","10.15468/95waq3","2e167bb0-4441-11db-9ba2-b8a03c50a862"
"832cb04e-f762-11e1-a439-00145eb45e9a","Fairchild Tropical Botanic Garden (FTG)","10.15468/hdpruf","bd561840-efdc-11d9-a329-b8a03c50a862"
"36f15a36-6b45-442e-9c31-cd633423aee0","Field Museum of Natural History (Zoology) Bird Collection","10.15468/exkxdx","7b8aff00-a9f8-11d8-944b-b8a03c50a862"
