"nombre_enviado","reino_enviado","usage_key","accepted_usage_key","scientific_name","canonical_name","rank","status","confidence","match_type","kingdom","phylum","class","order","family","genus","species","consulta_utc"
"Accipiter striatus","Animalia","9740253",NA,"Accipiter striatus Vieillot, 1808","Accipiter striatus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus","2026-08-29 23:33:29 UTC"
"Actitis macularius","Animalia","2481798",NA,"Actitis macularius (Linnaeus, 1766)","Actitis macularius","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularius","2026-08-29 23:33:29 UTC"
"Aeronautes andecolus","Animalia","2477112",NA,"Aeronautes andecolus (d'Orbigny & Lafresnaye, 1837)","Aeronautes andecolus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Apodiformes","Apodidae","Aeronautes","Aeronautes andecolus","2026-08-29 23:33:29 UTC"
"Agelasticus thilius","Animalia","2484205",NA,"Agelasticus thilius (Molina, 1782)","Agelasticus thilius","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelasticus","Agelasticus thilius","2026-08-29 23:33:29 UTC"
"Aglaeactis castelnaudii","Animalia","2476304",NA,"Aglaeactis castelnaudii (Bourcier & Mulsant, 1848)","Aglaeactis castelnaudii","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Aglaeactis","Aglaeactis castelnaudii","2026-08-29 23:33:29 UTC"
"Aglaeactis cupripennis","Animalia","2476308",NA,"Aglaeactis cupripennis (Bourcier, 1843)","Aglaeactis cupripennis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Aglaeactis","Aglaeactis cupripennis","2026-08-29 23:33:29 UTC"
"Aglaoctenus lagotis","Animalia","2146896",NA,"Aglaoctenus lagotis (Holmberg, 1876)","Aglaoctenus lagotis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Aglaoctenus","Aglaoctenus lagotis","2026-08-29 23:33:29 UTC"
"Agriornis montanus","Animalia","2483480",NA,"Agriornis montanus (Orbigny & Lafresnaye, 1837)","Agriornis montanus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Agriornis","Agriornis montanus","2026-08-29 23:33:29 UTC"
"Agrius cingulata","Animalia","5123636",NA,"Agrius cingulata Fabricius, 1775","Agrius cingulata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Agrius","Agrius cingulata","2026-08-29 23:33:29 UTC"
"Amazonetta brasiliensis","Animalia","2498411",NA,"Amazonetta brasiliensis (J.F.Gmelin, 1789)","Amazonetta brasiliensis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Anseriformes","Anatidae","Amazonetta","Amazonetta brasiliensis","2026-08-29 23:33:29 UTC"
"Ambonus interrogationis","Animalia","1106622",NA,"Ambonus interrogationis (Blanchard, 1847)","Ambonus interrogationis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Ambonus","Ambonus interrogationis","2026-08-29 23:33:29 UTC"
"Ampelion rubrocristatus","Animalia","2486420",NA,"Ampelion rubrocristatus (Orbigny & Lafresnaye, 1837)","Ampelion rubrocristatus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Cotingidae","Ampelion","Ampelion rubrocristatus","2026-08-29 23:33:29 UTC"
"Anairetes flavirostris","Animalia","2482680",NA,"Anairetes flavirostris P.L.Sclater & Salvin, 1876","Anairetes flavirostris","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Anairetes","Anairetes flavirostris","2026-08-29 23:33:29 UTC"
"Anairetes parulus","Animalia","2482688",NA,"Anairetes parulus (Kittlitz, 1830)","Anairetes parulus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Anairetes","Anairetes parulus","2026-08-29 23:33:29 UTC"
"Anas flavirostris","Animalia","2498065",NA,"Anas flavirostris Vieillot, 1816","Anas flavirostris","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas flavirostris","2026-08-29 23:33:29 UTC"
"Anas georgica","Animalia","2498127",NA,"Anas georgica J.F.Gmelin, 1789","Anas georgica","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Anas georgica","2026-08-29 23:33:29 UTC"
"Ancognatha scarabaeoides","Animalia","1073404",NA,"Ancognatha scarabaeoides Erichson, 1847","Ancognatha scarabaeoides","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Ancognatha","Ancognatha scarabaeoides","2026-08-29 23:33:29 UTC"
"Anisognathus igniventris","Animalia","5230541",NA,"Anisognathus igniventris (d'Orbigny & Lafresnaye, 1837)","Anisognathus igniventris","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Anisognathus","Anisognathus igniventris","2026-08-29 23:33:29 UTC"
"Anthus brevirostris","Animalia","9737363",NA,"Anthus brevirostris Taczanowski, 1875","Anthus brevirostris","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus brevirostris","2026-08-29 23:33:29 UTC"
"Apis mellifera","Animalia","1341976",NA,"Apis mellifera Linnaeus, 1758","Apis mellifera","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera","2026-08-29 23:33:29 UTC"
"Ara ararauna","Animalia","5959231",NA,"Ara ararauna (Linnaeus, 1758)","Ara ararauna","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Ara","Ara ararauna","2026-08-29 23:33:29 UTC"
"Ara severus","Animalia","5959228",NA,"Ara severus (Linnaeus, 1758)","Ara severus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Ara","Ara severus","2026-08-29 23:33:29 UTC"
"Ardea alba","Animalia","9752617",NA,"Ardea alba Linnaeus, 1758","Ardea alba","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea alba","2026-08-29 23:33:29 UTC"
"Ardea ibis","Animalia","4408439","2480830","Ardea ibis Linnaeus, 1758","Ardea ibis","SPECIES","SYNONYM",100,"EXACT","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","2026-08-29 23:33:29 UTC"
"Argiope argentata","Animalia","5170999",NA,"Argiope argentata (Fabricius, 1775)","Argiope argentata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Argiope","Argiope argentata","2026-08-29 23:33:29 UTC"
"Argiope trifasciata","Animalia","5170973",NA,"Argiope trifasciata (Forssk<U+00E5>l, 1775)","Argiope trifasciata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Argiope","Argiope trifasciata","2026-08-29 23:33:29 UTC"
"Armadillidium vulgare","Animalia","2203611",NA,"Armadillidium vulgare (Latreille, 1804)","Armadillidium vulgare","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium vulgare","2026-08-29 23:33:29 UTC"
"Asio flammeus","Animalia","2497295",NA,"Asio flammeus (Pontoppidan, 1763)","Asio flammeus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Strigiformes","Strigidae","Asio","Asio flammeus","2026-08-29 23:33:29 UTC"
"Asthenes huancavelicae usheri","Animalia","9016110",NA,"Asthenes huancavelicae usheri Morrison, 1947","Asthenes huancavelicae usheri","SUBSPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Furnariidae","Asthenes","Asthenes huancavelicae","2026-08-29 23:33:29 UTC"
"Asthenes humilis","Animalia","5230054",NA,"Asthenes humilis (Cabanis, 1873)","Asthenes humilis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Furnariidae","Asthenes","Asthenes humilis","2026-08-29 23:33:29 UTC"
"Astylus subannulatus","Animalia","1",NA,"Animalia","Animalia","KINGDOM","ACCEPTED",95,"HIGHERRANK","Animalia",NA,NA,NA,NA,NA,NA,"2026-08-29 23:33:29 UTC"
"Athene cunicularia","Animalia","2497240",NA,"Athene cunicularia (Molina, 1782)","Athene cunicularia","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene cunicularia","2026-08-29 23:33:29 UTC"
"Atlapetes forbesi","Animalia","2491465",NA,"Atlapetes forbesi Morrison, 1947","Atlapetes forbesi","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Atlapetes","Atlapetes forbesi","2026-08-29 23:33:29 UTC"
"Battus polydamas","Animalia","5141324",NA,"Battus polydamas (Linnaeus, 1758)","Battus polydamas","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Battus","Battus polydamas","2026-08-29 23:33:29 UTC"
"Bolborhynchus orbygnesius","Animalia","5229119",NA,"Bolborhynchus orbygnesius (Souance, 1856)","Bolborhynchus orbygnesius","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Bolborhynchus","Bolborhynchus orbygnesius","2026-08-29 23:33:29 UTC"
"Bombus coccineus","Animalia","1340497",NA,"Bombus coccineus Friese, 1903","Bombus coccineus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus coccineus","2026-08-29 23:33:29 UTC"
"Bombus funebris","Animalia","1340427",NA,"Bombus funebris Smith, 1854","Bombus funebris","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus funebris","2026-08-29 23:33:29 UTC"
"Bombus opifex","Animalia","1340438",NA,"Bombus opifex Smith, 1879","Bombus opifex","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus opifex","2026-08-29 23:33:29 UTC"
"Bos taurus","Animalia","2441022",NA,"Bos taurus Linnaeus, 1758","Bos taurus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","2026-08-29 23:33:29 UTC"
"Burnsius orcus","Animalia","12012526","5142436","Burnsius orcus (Stoll, 1780)","Burnsius orcus","SPECIES","SYNONYM",100,"EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus oileus","2026-08-29 23:33:29 UTC"
"Buteo albigula","Animalia","2480535",NA,"Buteo albigula Philippi, 1899","Buteo albigula","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo albigula","2026-08-29 23:33:29 UTC"
"Cacicus chrysonotus","Animalia","5229822",NA,"Cacicus chrysonotus (Lafresnaye & Orbigny, 1838)","Cacicus chrysonotus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Icteridae","Cacicus","Cacicus chrysonotus","2026-08-29 23:33:29 UTC"
"Calidris himantopus","Animalia","5229400",NA,"Calidris himantopus (Bonaparte, 1826)","Calidris himantopus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris himantopus","2026-08-29 23:33:29 UTC"
"Canis familiaris","Animalia","5219200","6164210","Canis familiaris Linnaeus, 1758","Canis familiaris","SPECIES","SYNONYM",100,"EXACT","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus","2026-08-29 23:33:29 UTC"
"Caracara plancus","Animalia","2480989",NA,"Caracara plancus (J.F.Miller, 1777)","Caracara plancus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Falconiformes","Falconidae","Caracara","Caracara plancus","2026-08-29 23:33:29 UTC"
"Catamblyrhynchus diadema","Animalia","2488915",NA,"Catamblyrhynchus diadema Lafresnaye, 1842","Catamblyrhynchus diadema","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Catamblyrhynchus","Catamblyrhynchus diadema","2026-08-29 23:33:29 UTC"
"Catamenia analis","Animalia","2491185",NA,"Catamenia analis (d'Orbigny & Lafresnaye, 1837)","Catamenia analis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Catamenia","Catamenia analis","2026-08-29 23:33:29 UTC"
"Catamenia inornata","Animalia","2491197",NA,"Catamenia inornata (Lafresnaye, 1847)","Catamenia inornata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Catamenia","Catamenia inornata","2026-08-29 23:33:29 UTC"
"Catasticta cora","Animalia","1920060",NA,"Catasticta cora (Lucas, 1852)","Catasticta cora","SPECIES","ACCEPTED",100,"EXACT","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Catasticta","Catasticta cora","2026-08-29 23:33:29 UTC"
