scntfcN,taxnRnk,kingdom,order,family,genus,species
"Bombus opifex Smith, 1879",SPECIES,Animalia,Hymenoptera,Apidae,Bombus,Bombus opifex
"Plegadis ridgwayi (Allen, 1876)",SPECIES,Animalia,Pelecaniformes,Threskiornithidae,Plegadis,Plegadis ridgwayi
"Ardea ibis Linnaeus, 1758",SPECIES,Animalia,Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis
"Saltator aurantiirostris Vieillot, 1817",SPECIES,Animalia,Passeriformes,Thraupidae,Saltator,Saltator aurantiirostris
"Cinclodes albiventris (Philippi & Landbeck, 1861)",SPECIES,Animalia,Passeriformes,Furnariidae,Cinclodes,Cinclodes fuscus
"Catamenia analis (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Catamenia,Catamenia analis
"Turdus chiguanco Orbigny & Lafresnaye, 1837",SPECIES,Animalia,Passeriformes,Turdidae,Turdus,Turdus chiguanco
"Scytalopus urubambae Zimmer, 1939",SPECIES,Animalia,Passeriformes,Rhinocryptidae,Scytalopus,Scytalopus urubambae
"Catamenia inornata (Lafresnaye, 1847)",SPECIES,Animalia,Passeriformes,Thraupidae,Catamenia,Catamenia inornata
"Xenodacnis parina Cabanis, 1873",SPECIES,Animalia,Passeriformes,Thraupidae,Xenodacnis,Xenodacnis parina
"Colibri coruscans (Gould, 1846)",SPECIES,Animalia,Apodiformes,Trochilidae,Colibri,Colibri coruscans
"Oreonympha nobilis Gould, 1869",SPECIES,Animalia,Apodiformes,Trochilidae,Oreonympha,Oreonympha nobilis
"Bolborhynchus orbygnesius (Souance, 1856)",SPECIES,Animalia,Psittaciformes,Psittacidae,Bolborhynchus,Bolborhynchus orbygnesius
"Phrygilus punensis Ridgway, 1887",SPECIES,Animalia,Passeriformes,Thraupidae,Phrygilus,Phrygilus punensis
"Patagona gigas (Vieillot, 1824)",SPECIES,Animalia,Apodiformes,Trochilidae,Patagona,Patagona gigas
"Diglossa brunneiventris Lafresnaye, 1846",SPECIES,Animalia,Passeriformes,Thraupidae,Diglossa,Diglossa brunneiventris
"Ochthoeca leucophrys (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Ochthoeca,Ochthoeca leucophrys
"Patagioenas maculosa (Temminck, 1813)",SPECIES,Animalia,Columbiformes,Columbidae,Patagioenas,Patagioenas maculosa
"Conirostrum cinereum d'Orbigny & Lafresnaye, 1838",SPECIES,Animalia,Passeriformes,Thraupidae,Conirostrum,Conirostrum cinereum
"Troglodytes musculus J.F.Naumann, 1823",SPECIES,Animalia,Passeriformes,Troglodytidae,Troglodytes,Troglodytes musculus
"Metallura tyrianthina (Loddiges, 1832)",SPECIES,Animalia,Apodiformes,Trochilidae,Metallura,Metallura tyrianthina
"Spinus magellanicus (Vieillot, 1805)",SPECIES,Animalia,Passeriformes,Fringillidae,Spinus,Spinus magellanicus
"Lesbia nuna (R.Lesson, 1832)",SPECIES,Animalia,Apodiformes,Trochilidae,Lesbia,Lesbia nuna
"Aglaeactis cupripennis (Bourcier, 1843)",SPECIES,Animalia,Apodiformes,Trochilidae,Aglaeactis,Aglaeactis cupripennis
"Asthenes ottonis (Berlepsch, 1901)",SPECIES,Animalia,Passeriformes,Furnariidae,Asthenes,Asthenes ottonis
"Colaptes rupicola d'Orbigny, 1840",SPECIES,Animalia,Piciformes,Picidae,Colaptes,Colaptes rupicola
"Diglossa sittoides (d'Orbigny & Lafresnaye, 1838)",SPECIES,Animalia,Passeriformes,Thraupidae,Diglossa,Diglossa sittoides
"Orochelidon andecola (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Hirundinidae,Haplochelidon,Haplochelidon andecola
"Poospizopsis caesar (P.L.Sclater & Salvin, 1869)",SPECIES,Animalia,Passeriformes,Thraupidae,Poospizopsis,Poospizopsis caesar
"Chaetocercus mulsant (Bourcier, 1843)",SPECIES,Animalia,Apodiformes,Trochilidae,Chaetocercus,Chaetocercus mulsant
"Zenaida auriculata (Des Murs, 1847)",SPECIES,Animalia,Columbiformes,Columbidae,Zenaida,Zenaida auriculata
"Grallaria andicolus (Cabanis, 1873)",SPECIES,Animalia,Passeriformes,Grallariidae,Grallaria,Grallaria andicolus
"Lesbia victoriae (Bourcier & Mulsant, 1846)",SPECIES,Animalia,Apodiformes,Trochilidae,Lesbia,Lesbia victoriae
"Zonotrichia capensis (P.L.S.Müller, 1776)",SPECIES,Animalia,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis
"Metriopelia ceciliae (R.Lesson, 1845)",SPECIES,Animalia,Columbiformes,Columbidae,Metriopelia,Metriopelia ceciliae
"Agriornis montanus (Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Tyrannidae,Agriornis,Agriornis montanus
"Aglaeactis castelnaudii (Bourcier & Mulsant, 1848)",SPECIES,Animalia,Apodiformes,Trochilidae,Aglaeactis,Aglaeactis castelnaudii
"Anairetes flavirostris P.L.Sclater & Salvin, 1876",SPECIES,Animalia,Passeriformes,Tyrannidae,Anairetes,Anairetes flavirostris
"Conirostrum ferrugineiventre P.L.Sclater, 1855",SPECIES,Animalia,Passeriformes,Thraupidae,Conirostrum,Conirostrum ferrugineiventre
"Orochelidon murina (Cassin, 1853)",SPECIES,Animalia,Passeriformes,Hirundinidae,Notiochelidon,Notiochelidon murina
"Falco femoralis Temminck, 1822",SPECIES,Animalia,Falconiformes,Falconidae,Falco,Falco femoralis
"Falco sparverius Linnaeus, 1758",SPECIES,Animalia,Falconiformes,Falconidae,Falco,Falco sparverius
"Bubo magellanicus (R.Lesson, 1828)",SPECIES,Animalia,Strigiformes,Strigidae,Bubo,Bubo magellanicus
"Cranioleuca albicapilla (Cabanis, 1873)",SPECIES,Animalia,Passeriformes,Furnariidae,Cranioleuca,Cranioleuca albicapilla
"Geranoaetus polyosoma (Quoy & Gaimard, 1824)",SPECIES,Animalia,Accipitriformes,Accipitridae,Buteo,Buteo polyosoma
"Pheucticus aureoventris (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Cardinalidae,Pheucticus,Pheucticus aureoventris
"Rhopospina fruticeti (Kittlitz, 1833)",SPECIES,Animalia,Passeriformes,Thraupidae,Rhopospina,Rhopospina fruticeti
"Rauenia bonariensis (J.F.Gmelin, 1789)",SPECIES,Animalia,Passeriformes,Thraupidae,Rauenia,Rauenia bonariensis
"Cinclodes atacamensis (Philippi, 1857)",SPECIES,Animalia,Passeriformes,Furnariidae,Cinclodes,Cinclodes atacamensis
"Pseudocolopteryx acutipennis (P.L.Sclater & Salvin, 1873)",SPECIES,Animalia,Passeriformes,Tyrannidae,Pseudocolopteryx,Pseudocolopteryx acutipennis
"Myiotheretes striaticollis (P.L.Sclater, 1853)",SPECIES,Animalia,Passeriformes,Tyrannidae,Myiotheretes,Myiotheretes striaticollis
"Anas flavirostris Vieillot, 1816",SPECIES,Animalia,Anseriformes,Anatidae,Anas,Anas flavirostris
