scntfcN,taxnRnk,kingdom,order,family,genus,species
Trifolium repens L.,SPECIES,Plantae,Fabales,Fabaceae,Trifolium,Trifolium repens
Tropaeolum peregrinum L.,SPECIES,Plantae,Brassicales,Tropaeolaceae,Tropaeolum,Tropaeolum peregrinum
Taraxacum spec F.H.Wigg.,SPECIES,Plantae,Asterales,Asteraceae,Taraxacum,Taraxacum
Solanum × chaucha Juz. & Bukasov,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum chaucha
Solanum stenotomum subsp. stenotomum,SUBSPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum tuberosum
Solanum candolleanum Berthault,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum candolleanum
Solanum coelestispetalum Vargas,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum brevicaule
Chloraea reticulata Schltr.,SPECIES,Plantae,Asparagales,Orchidaceae,Chloraea,Chloraea reticulata
Sambucus peruviana Kunth,SPECIES,Plantae,Dipsacales,Viburnaceae,Sambucus,Sambucus peruviana
Vicia faba L.,SPECIES,Plantae,Fabales,Fabaceae,Vicia,Vicia faba
Cantua buxifolia Juss. ex Lam.,SPECIES,Plantae,Ericales,Polemoniaceae,Cantua,Cantua buxifolia
Corryocactus erectus (Backeb.) F.Ritter,SPECIES,Plantae,Caryophyllales,Cactaceae,Corryocactus,Corryocactus erectus
Nasa poissoniana (Urb. & Gilg) Weigend,SPECIES,Plantae,Cornales,Loasaceae,Nasa,Nasa poissoniana
Kageneckia lanceolata Ruiz & Pav.,SPECIES,Plantae,Rosales,Rosaceae,Kageneckia,Kageneckia lanceolata
Silybum marianum (L.) Gaertn.,SPECIES,Plantae,Asterales,Asteraceae,Silybum,Silybum marianum
Austrocylindropuntia floccosa (Salm-Dyck) F.Ritter,SPECIES,Plantae,Caryophyllales,Cactaceae,Austrocylindropuntia,Austrocylindropuntia floccosa
Bomarea involucrosa (Herb.) Baker,SPECIES,Plantae,Liliales,Alstroemeriaceae,Bomarea,Bomarea involucrosa
Adesmia miraflorensis J.Rémy,SPECIES,Plantae,Fabales,Fabaceae,Adesmia,Adesmia miraflorensis
Alnus acuminata Kunth,SPECIES,Plantae,Fagales,Betulaceae,Alnus,Alnus acuminata
Tillandsia usneoides (L.) L.,SPECIES,Plantae,Poales,Bromeliaceae,Tillandsia,Tillandsia usneoides
Tristerix penduliflorus Kuijt,SPECIES,Plantae,Santalales,Loranthaceae,Tristerix,Tristerix penduliflorus
Solanum muricatum Aiton,SPECIES,Plantae,Solanales,Solanaceae,Solanum,Solanum muricatum
Puya cochabambensis R.Vásquez & Ibisch,SPECIES,Plantae,Poales,Bromeliaceae,Puya,Puya cochabambensis
Lobivia hertrichiana Backeb.,SPECIES,Plantae,Caryophyllales,Cactaceae,Lobivia,Lobivia hertrichiana
Fuchsia apetala Ruiz & Pav.,SPECIES,Plantae,Myrtales,Onagraceae,Fuchsia,Fuchsia apetala
Nicotiana glauca Graham,SPECIES,Plantae,Solanales,Solanaceae,Nicotiana,Nicotiana glauca
Escallonia resinosa (Ruiz & Pav.) Pers.,SPECIES,Plantae,Escalloniales,Escalloniaceae,Escallonia,Escallonia resinosa
Duranta armata Moldenke,SPECIES,Plantae,Lamiales,Verbenaceae,Duranta,Duranta armata
Phytolacca octandra L.,SPECIES,Plantae,Caryophyllales,Phytolaccaceae,Phytolacca,Phytolacca icosandra
Cirsium vulgare (Savi) Ten.,SPECIES,Plantae,Asterales,Asteraceae,Cirsium,Cirsium vulgare
Schinus molle L.,SPECIES,Plantae,Sapindales,Anacardiaceae,Schinus,Schinus molle
Chenopodium quinoa Willd.,SPECIES,Plantae,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium quinoa
Sisyrinchium laxinervium Ravenna,SPECIES,Plantae,Asparagales,Iridaceae,Sisyrinchium,Sisyrinchium laxinervium
