"cell_id","area_km2","records","flora_species","fauna_species","species","recent_records","status","priority","tooltip"
"A014",0.589199077586584,0,0,0,0,0,"Sin registros",1,"Celda: A014<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 0.6 km2"
"A015",11.8333937867875,6,3,1,4,1,"Cobertura muy baja",2,"Celda: A015<br>Estado: Cobertura muy baja<br>Registros:      6<br>Especies: 4<br>Area: 11.8 km2"
"A016",13.0691756708195,3,1,0,1,0,"Cobertura muy baja",2,"Celda: A016<br>Estado: Cobertura muy baja<br>Registros:      3<br>Especies: 1<br>Area: 13.1 km2"
"A017",16.1878974260751,2,0,2,2,2,"Cobertura muy baja",2,"Celda: A017<br>Estado: Cobertura muy baja<br>Registros:      2<br>Especies: 2<br>Area: 16.2 km2"
"A018",6.60377145320129,0,0,0,0,0,"Sin registros",1,"Celda: A018<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 6.6 km2"
"A036",20.8666631310301,75,0,38,38,57,"Cobertura suficiente",4,"Celda: A036<br>Estado: Cobertura suficiente<br>Registros:     75<br>Especies: 38<br>Area: 20.9 km2"
"A037",25,6,6,0,6,0,"Cobertura muy baja",2,"Celda: A037<br>Estado: Cobertura muy baja<br>Registros:      6<br>Especies: 6<br>Area: 25 km2"
"A038",25,3,1,0,1,0,"Cobertura muy baja",2,"Celda: A038<br>Estado: Cobertura muy baja<br>Registros:      3<br>Especies: 1<br>Area: 25 km2"
"A039",25,35,5,17,22,16,"Cobertura baja",3,"Celda: A039<br>Estado: Cobertura baja<br>Registros:     35<br>Especies: 22<br>Area: 25 km2"
"A040",23.3935257448597,49,2,0,2,0,"Cobertura muy baja",2,"Celda: A040<br>Estado: Cobertura muy baja<br>Registros:     49<br>Especies: 2<br>Area: 23.4 km2"
"A041",10.7130228432517,0,0,0,0,0,"Sin registros",1,"Celda: A041<br>Estado: Sin registros<br>Registros:      0<br>Especies: 0<br>Area: 10.7 km2"
