"id_hotspot","nombre_hotspot","url_ebird","distrito_ubicacion","species","nombre_cientifico","n_observaciones","primer_anio","ultimo_anio","orden","familia","nombre_espanol","nombre_ingles","estatus_residencia","ds_004_2014","iucn_categoria","cites_apendice","es_endemica_peru"
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Plegadis ridgwayi","Plegadis ridgwayi (Allen, 1876)",285,2014,2025,"Pelecaniformes","Threskiornithidae","Ibis de la Puna","Puna Ibis","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Anas flavirostris","Anas flavirostris Vieillot, 1816",255,2019,2025,"Anseriformes","Anatidae","Pato Barcino","Yellow-billed Teal","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Spatula cyanoptera","Spatula cyanoptera (Vieillot, 1816)",241,2019,2025,"Anseriformes","Anatidae","Pato Colorado","Cinnamon Teal","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Anas georgica","Anas georgica J.F.Gmelin, 1789",240,2019,2025,"Anseriformes","Anatidae","Pato Jergón","Yellow-billed Pintail","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Bubulcus ibis","Ardea ibis Linnaeus, 1758",235,2013,2024,NA,NA,NA,NA,NA,"No Amenazada","Preocupación Menor (LC)","No CITES",NA
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Zonotrichia capensis","Zonotrichia capensis (P.L.S.Müller, 1776)",213,2018,2024,"Passeriformes","Passerellidae","Gorrión de Collar Rufo","Rufous-collared Sparrow","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Chroicocephalus serranus","Chroicocephalus serranus (Tschudi, 1844)",208,2010,2024,"Charadriiformes","Laridae","Gaviota Andina","Andean Gull","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Gallinula chloropus","Gallinula galeata (Lichtenstein & Mhc, 1818)",202,2019,2024,NA,NA,NA,NA,NA,"No Amenazada","Preocupación Menor (LC)","No CITES",NA
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Falco sparverius","Falco sparverius Linnaeus, 1758",200,2018,2024,"Falconiformes","Falconidae","Cernícalo Americano","American Kestrel","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Patagioenas maculosa","Patagioenas maculosa (Temminck, 1813)",200,2017,2024,"Columbiformes","Columbidae","Paloma de Ala Moteada","Spot-winged Pigeon","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Spatula puna","Spatula puna (Tschudi, 1844)",197,2019,2024,"Anseriformes","Anatidae","Pato de la Puna","Puna Teal","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Agelasticus thilius","Agelasticus thilius (Molina, 1782)",195,2020,2024,"Passeriformes","Icteridae","Tordo de Ala Amarilla","Yellow-winged Blackbird","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Ardea alba","Ardea alba Linnaeus, 1758",165,2019,2024,"Pelecaniformes","Ardeidae","Garza Grande","Great Egret","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Spinus magellanicus","Spinus magellanicus (Vieillot, 1805)",155,2013,2024,"Passeriformes","Fringillidae","Jilguero Encapuchado","Hooded Siskin","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta","Vanellus resplendens","Vanellus resplendens (Tschudi, 1843)",155,2010,2024,"Charadriiformes","Charadriidae","Avefría Andina","Andean Lapwing","Residente","No Amenazada","Preocupación Menor (LC)","No CITES",FALSE
