"id_hotspot","nombre_hotspot","url_ebird","distrito_ubicacion","total_especies_ebird","total_observaciones_ebird","especies_amenazadas","especies_endemicas","ultimo_anio"
"L13016446","Humedal del Yungaqui","https://ebird.org/hotspot/L13016446/bird-list","Anta",131,6063,2,0,2025
"L15073939","Laguna Humantay - Caminata Puesto de Control","https://ebird.org/hotspot/L15073939/bird-list","Mollepata",228,6668,4,0,2026
"L16831267","Zurite Qente Qentiyoc","https://ebird.org/hotspot/L16831267/bird-list","Zurite",110,2597,2,0,2024
"L21694969","Paso Salkantay","https://ebird.org/hotspot/L21694969/bird-list","Mollepata",114,530,3,0,2026
"L33530159","Santuario Historico Machu Picchu - Challacancha a Soraypampa","https://ebird.org/hotspot/L33530159/bird-list","Mollepata",96,565,1,0,2026
"L3483388","Soraypampa","https://ebird.org/hotspot/L3483388/bird-list","Mollepata",216,5975,4,0,2026
"L4544771","Laguna Loocray Huayllacocha","https://ebird.org/hotspot/L4544771/bird-list","Huarocondo",33,209,0,0,2024
"L4820432","Reposo del Angel","https://ebird.org/hotspot/L4820432/bird-list","Limatambo",136,1023,2,0,2025
"L5054377","Represa Chacan","https://ebird.org/hotspot/L5054377/bird-list","Anta",115,9372,2,0,2026
"L5065724","Yoga Limatambo Hotel","https://ebird.org/hotspot/L5065724/bird-list","Limatambo",134,966,2,0,2025
"L5065776","Mirador de Condor","https://ebird.org/hotspot/L5065776/bird-list","Limatambo",155,3547,2,0,2026
"L6347866","Puente Cunyac","https://ebird.org/hotspot/L6347866/bird-list","Mollepata",4,6,0,0,2023
"L782919","Parque Arqueológico Choquequirao","https://ebird.org/hotspot/L782919/bird-list","Mollepata",196,1232,2,0,2026
"L8166287","Sitio Arqueologico de Killarumiyoc","https://ebird.org/hotspot/L8166287/bird-list","Ancahuasi",75,301,0,0,2024
"L8413446","Pincopata EcoCamp","https://ebird.org/hotspot/L8413446/bird-list","Mollepata",181,5495,2,0,2025
"L8571886","Laguna Humantay","https://ebird.org/hotspot/L8571886/bird-list","Mollepata",141,1722,2,0,2026
"L892475","Laguna Huaypo","https://ebird.org/hotspot/L892475/bird-list","Anta",170,10216,2,0,2026
