"distrito","species","reino","nombre_cientifico","clase","orden","familia","genero","n_registros","fuentes","plataformas","primer_anio","ultimo_anio","n_distritos_total","es_exclusiva","iucn_match_name","iucn_categoria_raw","iucn_id","iucn_categoria","es_amenazada_iucn"
"Ancahuasi","Zonotrichia capensis","Fauna","Zonotrichia capensis (P.L.S.Müller, 1776)","Aves","Passeriformes","Passerellidae","Zonotrichia",48,"GBIF","eBird",2014,2024,9,FALSE,"Zonotrichia capensis","Least Concern","22721079","Preocupación Menor (LC)",FALSE
"Ancahuasi","Turdus chiguanco","Fauna","Turdus chiguanco Orbigny & Lafresnaye, 1837","Aves","Passeriformes","Turdidae","Turdus",47,"GBIF / iNaturalist","eBird / iNaturalist",2014,2024,9,FALSE,"Turdus chiguanco","Least Concern","103889964","Preocupación Menor (LC)",FALSE
"Ancahuasi","Spinus magellanicus","Fauna","Spinus magellanicus (Vieillot, 1805)","Aves","Passeriformes","Fringillidae","Spinus",41,"GBIF","eBird",2018,2024,9,FALSE,"Spinus magellanicus","Least Concern","22720383","Preocupación Menor (LC)",FALSE
"Ancahuasi","Phrygilus punensis","Fauna","Phrygilus punensis Ridgway, 1887","Aves","Passeriformes","Thraupidae","Phrygilus",28,"GBIF","eBird",2018,2024,8,FALSE,"Phrygilus punensis","Least Concern","22723064","Preocupación Menor (LC)",FALSE
"Ancahuasi","Saltator aurantiirostris","Fauna","Saltator aurantiirostris Vieillot, 1817","Aves","Passeriformes","Thraupidae","Saltator",26,"GBIF","eBird",2018,2024,9,FALSE,"Saltator aurantiirostris","Least Concern","22723892","Preocupación Menor (LC)",FALSE
"Ancahuasi","Colaptes rupicola","Fauna","Colaptes rupicola d'Orbigny, 1840","Aves","Piciformes","Picidae","Colaptes",23,"GBIF / iNaturalist","eBird / iNaturalist",2018,2024,9,FALSE,"Colaptes rupicola","Least Concern","22726426","Preocupación Menor (LC)",FALSE
"Ancahuasi","Catamenia analis","Fauna","Catamenia analis (d'Orbigny & Lafresnaye, 1837)","Aves","Passeriformes","Thraupidae","Catamenia",21,"GBIF","eBird",2018,2024,9,FALSE,"Catamenia analis","Least Concern","22723570","Preocupación Menor (LC)",FALSE
"Ancahuasi","Diglossa brunneiventris","Fauna","Diglossa brunneiventris Lafresnaye, 1846","Aves","Passeriformes","Thraupidae","Diglossa",20,"GBIF / iNaturalist","eBird / iNaturalist",2012,2024,7,FALSE,"Diglossa brunneiventris","Least Concern","22723677","Preocupación Menor (LC)",FALSE
"Ancahuasi","Patagioenas maculosa","Fauna","Patagioenas maculosa (Temminck, 1813)","Aves","Columbiformes","Columbidae","Patagioenas",20,"GBIF","eBird",2018,2024,9,FALSE,"Patagioenas maculosa","Least Concern","22728285","Preocupación Menor (LC)",FALSE
"Ancahuasi","Falco sparverius","Fauna","Falco sparverius Linnaeus, 1758","Aves","Falconiformes","Falconidae","Falco",19,"GBIF / iNaturalist","eBird / iNaturalist",2018,2024,9,FALSE,"Falco sparverius","Least Concern","22696395","Preocupación Menor (LC)",FALSE
"Ancahuasi","Zenaida auriculata","Fauna","Zenaida auriculata (Des Murs, 1847)","Aves","Columbiformes","Columbidae","Zenaida",19,"GBIF","eBird",2017,2024,8,FALSE,"Zenaida auriculata","Least Concern","22690747","Preocupación Menor (LC)",FALSE
"Ancahuasi","Colibri coruscans","Fauna","Colibri coruscans (Gould, 1846)","Aves","Apodiformes","Trochilidae","Colibri",18,"GBIF","eBird",2018,2024,9,FALSE,"Colibri coruscans","Least Concern","22687114","Preocupación Menor (LC)",FALSE
"Ancahuasi","Buteo polyosoma","Fauna","Geranoaetus polyosoma (Quoy & Gaimard, 1824)","Aves","Accipitriformes","Accipitridae","Buteo",17,"GBIF / iNaturalist","eBird / iNaturalist",2018,2024,7,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Ancahuasi","Cinclodes fuscus","Fauna","Cinclodes albiventris (Philippi & Landbeck, 1861)","Aves","Passeriformes","Furnariidae","Cinclodes",17,"GBIF","eBird",2018,2024,8,FALSE,"Cinclodes fuscus","---","22736220_1","No Evaluada (NE)",FALSE
"Ancahuasi","Troglodytes musculus","Fauna","Troglodytes musculus J.F.Naumann, 1823","Aves","Passeriformes","Troglodytidae","Troglodytes",16,"GBIF","eBird",2018,2024,8,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Ancahuasi","Columba livia","Fauna","Columba livia J.F.Gmelin, 1789","Aves","Columbiformes","Columbidae","Columba",15,"GBIF","eBird",2018,2024,9,FALSE,"Columba livia","Least Concern","22690066","Preocupación Menor (LC)",FALSE
"Ancahuasi","Rhopospina fruticeti","Fauna","Rhopospina fruticeti (Kittlitz, 1833)","Aves","Passeriformes","Thraupidae","Rhopospina",15,"GBIF","eBird",2018,2024,8,FALSE,"Rhopospina fruticeti","Least Concern","22723080","Preocupación Menor (LC)",FALSE
"Ancahuasi","Poospizopsis caesar","Fauna","Poospizopsis caesar (P.L.Sclater & Salvin, 1869)","Aves","Passeriformes","Thraupidae","Poospizopsis",14,"GBIF","eBird",2018,2024,9,FALSE,"Poospizopsis caesar","Least Concern","22723282","Preocupación Menor (LC)",FALSE
"Ancahuasi","Catamenia inornata","Fauna","Catamenia inornata (Lafresnaye, 1847)","Aves","Passeriformes","Thraupidae","Catamenia",13,"GBIF / iNaturalist","eBird / iNaturalist",2018,2023,7,FALSE,"Catamenia inornata","Least Concern","22723573","Preocupación Menor (LC)",FALSE
"Ancahuasi","Plegadis ridgwayi","Fauna","Plegadis ridgwayi (Allen, 1876)","Aves","Pelecaniformes","Threskiornithidae","Plegadis",12,"GBIF","eBird",2017,2024,9,FALSE,"Plegadis ridgwayi","Least Concern","22697429","Preocupación Menor (LC)",FALSE
"Ancahuasi","Falco femoralis","Fauna","Falco femoralis Temminck, 1822","Aves","Falconiformes","Falconidae","Falco",11,"GBIF","eBird / Observation.org",2018,2024,8,FALSE,"Falco femoralis","Least Concern","22696450","Preocupación Menor (LC)",FALSE
"Ancahuasi","Geospizopsis plebejus","Fauna","Geospizopsis plebejus (Tschudi, 1844)","Aves","Passeriformes","Thraupidae","Geospizopsis",11,"GBIF","eBird",2018,2024,8,FALSE,"Geospizopsis plebejus","Least Concern","22723100","Preocupación Menor (LC)",FALSE
