"district_a","district_b","shared_species","total_species","jaccard_similarity","jaccard_turnover"
"Mollepata","Pucyura",49,1031,0.048,0.952
"Cachimayo","Mollepata",64,1020,0.063,0.937
"Limatambo","Pucyura",39,609,0.064,0.936
"Chinchaypujio","Mollepata",73,1029,0.071,0.929
"Cachimayo","Limatambo",63,589,0.107,0.893
"Anta","Pucyura",42,369,0.114,0.886
"Ancahuasi","Mollepata",135,1103,0.122,0.878
"Chinchaypujio","Limatambo",73,597,0.122,0.878
"Huarocondo","Mollepata",135,1049,0.129,0.871
"Mollepata","Zurite",132,1026,0.129,0.871
"Ancahuasi","Pucyura",34,262,0.13,0.87
"Chinchaypujio","Pucyura",21,139,0.151,0.849
"Huarocondo","Pucyura",32,210,0.152,0.848
"Anta","Chinchaypujio",59,374,0.158,0.842
"Anta","Mollepata",192,1161,0.165,0.835
"Ancahuasi","Limatambo",116,690,0.168,0.832
"Anta","Cachimayo",64,351,0.182,0.818
"Pucyura","Zurite",35,181,0.193,0.807
"Huarocondo","Limatambo",123,629,0.196,0.804
"Limatambo","Zurite",119,607,0.196,0.804
"Ancahuasi","Chinchaypujio",54,264,0.205,0.795
"Ancahuasi","Cachimayo",54,246,0.22,0.78
"Cachimayo","Pucyura",26,116,0.224,0.776
"Anta","Limatambo",171,750,0.228,0.772
"Ancahuasi","Anta",107,462,0.232,0.768
"Chinchaypujio","Huarocondo",54,210,0.257,0.743
"Chinchaypujio","Zurite",49,189,0.259,0.741
"Anta","Huarocondo",107,408,0.262,0.738
"Ancahuasi","Huarocondo",88,312,0.282,0.718
"Anta","Zurite",109,380,0.287,0.713
"Cachimayo","Huarocondo",55,191,0.288,0.712
"Cachimayo","Chinchaypujio",37,127,0.291,0.709
"Limatambo","Mollepata",371,1219,0.304,0.696
"Ancahuasi","Zurite",93,281,0.331,0.669
"Cachimayo","Zurite",56,164,0.341,0.659
"Huarocondo","Zurite",98,222,0.441,0.559
